datum,imputerad,lower_95,upper_95
2017-05-12,3.9354664411254268,3.78464610264015,4.086286779610703
2017-06-09,3.854275442300029,3.7035981719873705,4.004952712612687
2017-07-07,3.7592840319290586,3.6086070859877544,3.909960977870363
2017-08-04,3.650655813843703,3.499978767200891,3.8013328604865153
2017-09-01,3.7449853676542015,3.5942635977207207,3.8957071375876824
2017-09-29,3.9342695749542878,3.764973993403133,4.103565156505443
2017-10-13,4.024471610633056,3.8551760290819015,4.193767192184211
2017-11-10,4.201767706458482,4.0510459365250036,4.352489476391961
2017-12-08,4.317499373238691,4.166822326597029,4.468176419880353
2018-01-05,4.290369075871762,4.1396921304376955,4.441046021305829
2018-02-02,4.175035093955546,4.024358047313884,4.325712140597208
2018-03-02,4.155602885990422,4.004881116056944,4.306324655923901
2018-03-30,4.147653648647545,3.97835806709639,4.316949230198699
2018-04-13,4.099570541354053,3.9302749598028983,4.268866122905208
2018-05-11,3.9699529842810657,3.8192312143475884,4.1206747542145425
2018-06-08,3.839439934315763,3.688762887674623,3.9901169809569033
2018-07-06,3.698259497977604,3.5475825527735747,3.848936443181633
2018-08-03,3.619161644606529,3.4684846994024996,3.7698385898105586
2018-08-31,3.6193292635074443,3.468652216865927,3.7700063101489616
2018-09-28,3.6067215856497024,3.4559998155501117,3.757443355749293
2018-10-26,3.626904381867103,3.457608735102842,3.7962000286313637
2018-11-09,3.646758492061883,3.47746267283431,3.816054311289456
2018-12-07,3.7018240641172686,3.551033875604408,3.8526142526301292
2019-01-04,3.7916319838211887,3.6133420626865314,3.969921904955846
2019-01-18,3.8462284416645036,3.6460911324326557,4.046365750896351
2019-02-01,3.900824899507819,3.7224250102965355,4.079224788719102
2019-03-01,3.918797191490084,3.740365300771313,4.097229082208854
2019-03-15,3.8821730256290334,3.681931533102409,4.082414518155658
2019-03-29,3.845548859767983,3.66700425228361,4.024093467252356
2019-04-26,3.8096767032685266,3.606793139914048,4.012560266623005
2019-05-10,3.81042871263012,3.538383895703087,4.082473529557154
2019-05-24,3.811180721991714,3.4860308632569943,4.136330580726434
2019-06-07,3.8119327313533082,3.442739171097382,4.181126291609234
2019-06-21,3.812684740714902,3.4055573094177998,4.219812172012004
2019-07-05,3.813436750076496,3.3729041045488346,4.253969395604157
2019-07-19,3.8141887594380894,3.343813712993748,4.2845638058824305
2019-08-02,3.8149407687996835,3.317644315021532,4.312237222577835
2019-08-16,3.8156927781612775,3.293943559049234,4.337441997273321
2019-08-30,3.816444787522871,3.2723784878602094,4.360511087185533
2019-09-13,3.817196796884465,3.2526957470235205,4.38169784674541
2019-09-27,3.8179488062460587,3.2346974554199432,4.401200157072174
2019-10-11,3.8187008156076527,3.2182257975862854,4.41917583362902
2019-10-25,3.8194528249692468,3.203152766251152,4.435752883687341
2019-11-08,3.8202048343308403,3.1893730948273613,4.451036573834319
2019-11-22,3.8209568436924344,3.1767992458680077,4.465114441516861
2019-12-06,3.821708853054028,3.165357770030788,4.478059936077267
2019-12-20,3.822460862415622,3.154986605520634,4.48993511931061
2020-01-03,3.8232128717772156,3.145633039484263,4.500792704070168
2020-01-17,3.8239648811388096,3.1372521459112854,4.510677616366333
2020-01-31,3.8247168905004036,3.129805573569903,4.519628207430904
2020-02-14,3.8254688998619972,3.1232605958998536,4.52767720382414
2020-02-28,3.8262209092235913,3.1175893603989637,4.534852458048219
2020-03-13,3.826972918585185,3.1127682925103577,4.541177544660012
2020-03-27,3.827724927946779,3.1087776211817633,4.546672234711794
2020-04-10,3.828476937308373,3.1056010019062126,4.551352872710533
2020-04-24,3.8292289466699665,3.1032252193081025,4.5552326740318305
2020-05-08,3.8299809560315605,3.101639955960863,4.558321956102258
2020-05-22,3.830732965393154,3.1008376176168166,4.560628313169492
2020-06-05,3.831484974754748,3.100813207743055,4.562156741766442
2020-06-19,3.832236984116342,3.1015642464345996,4.562909721798085
2020-07-03,3.8329889934779358,3.103090730597712,4.5628872563581595
2020-07-17,3.83374100283953,3.1053951339004,4.56208687177866
2020-07-31,3.8344930122011234,3.1084824464882566,4.56050357791399
2020-08-14,3.8352450215627174,3.1123602559647487,4.558129787160686
2020-08-28,3.8359970309243114,3.117038872738846,4.554955189109776
2020-09-11,3.836749040285905,3.122531504663784,4.550966575908026
2020-09-25,3.837501049647499,3.1288544880670965,4.546147611227902
2020-10-09,3.8382530590090926,3.1360275849836827,4.540478533034502
2020-10-23,3.8390050683706867,3.1440743598956695,4.533935776845704
2020-11-06,3.8397570777322807,3.1530226539017443,4.526491501562817
2020-11-20,3.8405090870938743,3.1629051804883845,4.518112993699364
2020-12-04,3.8412610964554683,3.173760275706102,4.5087619172048345
2020-12-18,3.8420131058170623,3.185632847707462,4.498393363926663
2021-01-01,3.842765115178656,3.198575588058053,4.486954642299259
2021-01-15,3.84351712454025,3.2126505328200983,4.474383716260402
2021-01-29,3.8442691339018435,3.227931099762925,4.460607168040762
2021-02-12,3.8450211432634376,3.2445047869626737,4.445537499564201
2021-02-26,3.845773152625031,3.2624768110248477,4.429069494225215
2021-03-12,3.846525161986625,3.2819751144758107,4.41107520949744
2021-03-26,3.8472771713482192,3.303157426948459,4.391396915747979
