date,imputed_level,lower_95,upper_95
2018-04-01,4.041881568882706,3.919392499226382,4.1643706385390304
2019-01-01,3.8626331609213893,3.740144091265065,3.9851222305777134
2019-03-01,3.887964080039131,3.765475010382807,4.010453149695455
2019-05-01,3.828953191978281,3.6946420681787586,3.9632643157778036
2019-06-01,3.8443963414063425,3.697122155824679,3.9916705269880057
2019-07-01,3.8578963400230433,3.7081355675584224,4.007657112487664
2019-08-01,3.8689176945871337,3.718658777937998,4.0191766112362695
2019-09-01,3.875480484144989,3.725120971003512,4.025839997286466
2019-10-01,3.8760319321783263,3.725652071972067,4.026411792384586
2019-11-01,3.868511851953506,3.71812787494449,4.018895828962522
2019-12-01,3.8548846077014947,3.7044997976895457,4.005269417713444
2020-01-01,3.838259468205989,3.6878744896401834,3.9886444467717945
2020-02-01,3.8273374982854906,3.676952485613607,3.977722510957374
2020-03-01,3.82142590426079,3.6710408846877867,3.971810923833793
2020-04-01,3.819827844569865,3.6694428236009053,3.9702128655388242
2020-05-01,3.8224217206437117,3.672036699394532,3.9728067418928914
2020-06-01,3.8294242670086613,3.6790392457138754,3.9798092883034473
2020-07-01,3.840176676484178,3.689791655234998,3.9905616977333582
2020-08-01,3.8528712922551343,3.702486271286175,4.003256313224094
2020-09-01,3.8649880063834536,3.7146029868104504,4.015373025956457
2020-10-01,3.8732357934073813,3.722850780735498,4.023620806079265
2020-11-01,3.876790672796998,3.7264056942311923,4.027175651362803
2020-12-01,3.8783593567218446,3.7279745467098957,4.0287441667337935
2021-01-01,3.8762415771069403,3.7258576000979238,4.026625554115957
2021-02-01,3.870585476920692,3.720205616714433,4.020965337126952
2021-03-01,3.8587434101205274,3.70838389697905,4.009102923262004
2021-04-01,3.847575656455197,3.697316739806061,3.9978345731043325
2021-05-01,3.8417740019152737,3.692013229450653,3.9915347743798946
2021-06-01,3.8414282081602837,3.694154022578621,3.9887023937419466
2021-07-01,3.8472748126569978,3.7129636888574753,3.9815859364565203
2021-09-01,3.84211983618,3.7078087123804777,3.9764309599795227
2021-10-01,3.83621314152649,3.6889389559448267,3.9834873271081532
2021-11-01,3.8354402799329184,3.6856795074682975,3.985201052397539
2021-12-01,3.8381811472089202,3.6879222305597845,3.988440063858056
2022-01-01,3.8419443649757254,3.6915848518342482,3.9923038781172027
2022-02-01,3.8446203605137796,3.6942405003075205,3.995000220720039
2022-03-01,3.845513668783221,3.6951296917742047,3.9958976457922377
2022-04-01,3.8435973882285435,3.693212578216593,3.9939821982404937
2022-05-01,3.843911844752732,3.6935268661869216,3.9942968233185425
2022-06-01,3.850260030109652,3.699875017437744,4.00064504278156
2022-07-01,3.8609300960630817,3.7105450764899586,4.011315115636205
2022-08-01,3.8714620179482977,3.7210769969787445,4.021847038917851
2022-09-01,3.8770102183736577,3.726625197121543,4.027395239625773
2022-10-01,3.8774819197163426,3.7270968984070527,4.027866941025632
2022-11-01,3.8783707030050594,3.7279856816842005,4.028755724325919
2022-12-01,3.876876256016344,3.7264912346931442,4.0272612773395435
2023-01-01,3.870154983047581,3.7197699617239075,4.020540004371255
2023-02-01,3.8603071123573622,3.709922091033593,4.010692133681132
2023-03-01,3.852589192792964,3.702204171469175,4.002974214116753
2023-04-01,3.844799594095508,3.6944145727717155,3.9951846154193005
2023-05-01,3.8396262742539484,3.689241252930155,3.990011295577742
2023-06-01,3.8404163849323942,3.6900313636086004,3.990801406256188
2023-07-01,3.843320275928609,3.6929352546048158,3.9937052972524025
2023-08-01,3.840633444942205,3.6902484236184123,3.9910184662659973
2023-09-01,3.8290277827912282,3.6786427614674393,3.979412804115017
2023-10-01,3.815713558675937,3.665328537352168,3.9660985799997066
2023-11-01,3.7992324005470586,3.648847379223385,3.949617421870732
2023-12-01,3.781783563264631,3.631398541941431,3.9321685845878305
2024-01-01,3.767884036957135,3.6174990156362763,3.918269058277994
2024-02-01,3.7525620118834357,3.602176990574146,3.9029470331927256
2024-03-01,3.7288393169578686,3.578454295705754,3.8792243382099834
2024-04-01,3.6953489937513497,3.5449639727817965,3.845734014720903
2024-05-01,3.671328322253425,3.520943302680302,3.8217133418265483
2024-06-01,3.6664956100097403,3.5161105973378324,3.8168806226816483
2024-07-01,3.6737010083831008,3.5233160298172903,3.824085986948911
2024-08-01,3.683497556579984,3.5331127465680336,3.833882366591934
2024-09-01,3.6952938264242023,3.544909849415186,3.845677803433219
2024-10-01,3.7044797045560274,3.5540998443497682,3.8548595647622865
2024-11-01,3.711180229718335,3.560820716576858,3.8615397428598124
2024-12-01,3.713416458378325,3.5631575417291894,3.863675375027461
2025-01-01,3.7152305001552968,3.565469727690676,3.8649912726199176
2025-02-01,3.716959471624145,3.5696852860424824,3.864233657205808
2025-03-01,3.724527830170355,3.5902167063708323,3.8588389539698773
2025-05-01,3.707041979526836,3.584552909870512,3.82953104918316
