datum,imputerad,lower_95,upper_95
2002-08-01,3.282093018615878,2.448476828598209,4.115709208633547
2002-09-01,3.2820930185958215,2.4484768286326615,4.1157092085589815
2002-10-01,3.282093018575765,2.448476828667114,4.115709208484416
2002-11-01,3.2820930185557087,2.4484768287015664,4.115709208409851
2002-12-01,3.2820930185356523,2.448476828736019,4.115709208335286
2003-01-01,3.282093018515596,2.4484768287704712,4.1157092082607205
2003-02-01,3.28209301849554,2.4484768288049246,4.115709208186155
2003-03-01,3.2820930184754835,2.448476828839377,4.11570920811159
2003-04-01,3.282093018455427,2.4484768288738294,4.115709208037025
2003-05-01,3.2820930184353707,2.448476828908282,4.1157092079624595
2003-06-01,3.2820930184153143,2.4484768289427343,4.115709207887894
2003-07-01,3.282093018395258,2.4484768289771868,4.115709207813329
2003-08-01,3.2820930183752015,2.448476829011639,4.115709207738764
2003-09-01,3.2820930183551456,2.448476829046092,4.1157092076641995
2003-10-01,3.282093018335089,2.4484768290805445,4.115709207589633
2003-11-01,3.2820930183150328,2.448476829114997,4.115709207515068
2004-01-01,3.282093018324335,2.4484768292306582,4.115709207418012
2004-02-01,3.2820930183536934,2.4484768293118666,4.11570920739552
2004-04-01,3.2820930183383212,2.448476829397535,4.1157092072791075
2004-05-01,3.28209301829359,2.4484768294019945,4.115709207185185
2004-06-01,3.282093018248859,2.448476829406455,4.115709207091263
2004-07-01,3.2820930182041277,2.4484768294109145,4.115709206997341
2004-08-01,3.2820930181593964,2.448476829415374,4.115709206903419
2004-09-01,3.2820930181146655,2.448476829419834,4.1157092068094965
2004-10-01,3.282093018069934,2.4484768294242936,4.115709206715575
2004-12-01,3.2820930180074313,2.4484768294575137,4.115709206557349
2005-01-01,3.2820930179896597,2.448476829486274,4.115709206493046
2005-03-01,3.282093017884237,2.448476829471256,4.115709206297217
2005-04-01,3.282093017796586,2.448476829427478,4.115709206165694
2005-05-01,3.2820930177089354,2.4484768293837007,4.11570920603417
2005-07-01,3.2820930175030516,2.448476829262904,4.115709205743199
2005-08-01,3.282093017384818,2.4484768291858847,4.115709205583752
2005-09-01,3.282093017266585,2.4484768291088654,4.115709205424305
2005-10-01,3.2820930171483518,2.448476829031846,4.115709205264857
2005-12-01,3.2820930169669142,2.4484768289301777,4.115709205003651
2006-01-01,3.2820930169037097,2.448476828905528,4.115709204901892
2006-02-01,3.282093016840505,2.4484768288808785,4.115709204800131
2006-03-01,3.2820930167773006,2.4484768288562293,4.115709204698372
2006-04-01,3.282093016714096,2.4484768288315797,4.115709204596612
2006-05-01,3.2820930166508915,2.44847682880693,4.115709204494853
2006-06-01,3.282093016587687,2.4484768287822805,4.115709204393093
2006-07-01,3.2820930165244824,2.448476828757631,4.115709204291334
2006-08-01,3.282093016461278,2.4484768287329817,4.115709204189574
2006-09-01,3.2820930163980733,2.448476828708332,4.115709204087814
2006-10-01,3.2820930163348687,2.4484768286836824,4.1157092039860546
2006-11-01,3.282093016271664,2.4484768286590333,4.115709203884295
2006-12-01,3.2820930162084596,2.4484768286343837,4.115709203782536
2007-02-01,3.282093015992523,2.448476828492898,4.115709203492148
2007-03-01,3.2820930158397905,2.448476828376062,4.11570920330352
2007-04-01,3.2820930156870585,2.448476828259226,4.115709203114891
2007-05-01,3.282093015534326,2.448476828142389,4.115709202926262
2007-06-01,3.282093015381594,2.4484768280255533,4.1157092027376345
2007-07-01,3.282093015228862,2.4484768279087175,4.115709202549007
