date,imputed_level,lower_95,upper_95
2018-04-01,4.087026131126087,3.9007332561168893,4.273319006135284
2019-01-01,3.8700854153375714,3.683792540328374,4.056378290346769
2019-03-01,3.8994873005270327,3.7131944255178353,4.085780175536231
2019-05-01,3.7937717434367224,3.5742086046422163,4.013334882231229
2019-06-01,3.8028224273736173,3.544047249231575,4.06159760551566
2019-07-01,3.8266603249798368,3.5541491038288,4.099171546130873
2019-08-01,3.8517172151669636,3.5740451741000983,4.129389256233829
2019-09-01,3.865142343222241,3.58548808024806,4.144796606196422
2019-10-01,3.8582067756944194,3.577785061877197,4.138628489511642
2019-11-01,3.8245400741366242,3.5438203298721884,4.10525981840106
2019-12-01,3.770360372789138,3.48952475761192,4.051195987966356
2020-01-01,3.7075966985265714,3.4267160147232865,3.9884773823298563
2020-02-01,3.661241531581972,3.3803433175997446,3.9421397455641998
2020-03-01,3.6339074198643346,3.3530023933990325,3.9148124463296368
2020-04-01,3.625864176813065,3.3449565198929596,3.9067718337331705
2020-05-01,3.6371680345570065,3.3562594058082684,3.9180766633057447
2020-06-01,3.667368444373771,3.3864595701685136,3.948277318579028
2020-07-01,3.7127233267896522,3.4318146980409137,3.993631955538391
2020-08-01,3.7656852323330487,3.4847775754129433,4.046592889253154
2020-09-01,3.8164491736252715,3.5355441471599693,4.097354200090574
2020-10-01,3.853957636704259,3.5730594227220314,4.1348558506864865
2020-11-01,3.8741480856451482,3.5932674018418633,4.155028769448434
2020-12-01,3.882223271833712,3.6013876566564944,4.16305888701093
2021-01-01,3.874578955301023,3.593859211036587,4.155298699565459
2021-02-01,3.852583997572533,3.572162283755311,4.133005711389755
2021-03-01,3.8135320776334765,3.5338778146592955,4.093186340607657
2021-04-01,3.7778156069821676,3.500143565915302,4.0554876480490325
2021-05-01,3.7614106837092343,3.4888994625581975,4.033921904860271
2021-06-01,3.7684732867669846,3.509698108624942,4.027248464909027
2021-07-01,3.802518323292586,3.58295518449808,4.022081462087092
2021-09-01,3.780350319363026,3.5607871805679476,3.9999134581581046
2021-10-01,3.7360012225510975,3.4772260444066476,3.9947764006955473
2021-11-01,3.716100087123315,3.4435888659650526,3.9886113082815777
2021-12-01,3.7139603332009172,3.4362882921144053,3.991632374287429
2022-01-01,3.720542708416407,3.440888445390641,4.000196971442173
2022-02-01,3.728183408730582,3.447761694779682,4.008605122681482
2022-03-01,3.7336919282377394,3.452972183628631,4.0144116728468475
2022-04-01,3.7351065694024026,3.454270953338215,4.01594218546659
2022-05-01,3.7452360396194524,3.4643553535353946,4.026116725703511
2022-06-01,3.773464371754959,3.4925661519096263,4.054362591600292
2022-07-01,3.814393138949127,3.533488097413467,4.095298180484787
2022-08-01,3.854347041151006,3.573439345496204,4.135254736805807
2022-09-01,3.8788522974526427,3.597943569147488,4.159761025757797
2022-10-01,3.885921733826053,3.605012603741292,4.166830863910814
2022-11-01,3.887371457856528,3.6064621714487473,4.168280744264309
2022-12-01,3.8768260182430936,3.5959166710138613,4.157735365472326
2023-01-01,3.848266181929214,3.5673568110363685,4.129175552822059
2023-02-01,3.808276638545794,3.527367258447574,4.089186018644014
2023-03-01,3.771225768927747,3.4903163852520294,4.052135152603465
2023-04-01,3.7346074940670952,3.453698109010001,4.015516879124189
2023-05-01,3.7057554458952318,3.424846060327781,3.9866648314626825
2023-06-01,3.6915930394453005,3.410683653748948,3.972502425141653
2023-07-01,3.680262620350719,3.399353234783269,3.9611720059181694
2023-08-01,3.6501381229130514,3.3692287378559573,3.9310475079701455
2023-09-01,3.591384092192148,3.3104747085164306,3.872293475867865
2023-10-01,3.5202983854126195,3.2393890053143997,3.8012077655108394
2023-11-01,3.435546609582343,3.154637238689497,3.7164559804751884
2023-12-01,3.3441130882981085,3.063203741068876,3.625022435527341
2024-01-01,3.257322930116643,2.976413643708862,3.538232216524424
2024-02-01,3.1641233212709206,2.8832141911861595,3.4450324513556816
2024-03-01,3.049937053719693,2.7690283254145385,3.3308457820248476
2024-04-01,2.9176463176158833,2.6367386219610816,3.198554013270685
2024-05-01,2.8196403154430043,2.5387352739073443,3.1005453569786643
2024-06-01,2.7847382280701707,2.503840008224838,3.0656364479155034
2024-07-01,2.7973293938356423,2.5164487077515845,3.0782100799197
2024-08-01,2.8320685686504428,2.5512329525862554,3.11290418471463
2024-09-01,2.882667528523771,2.6019477839146625,3.1633872731328796
2024-10-01,2.93585436428364,2.6554326503327403,3.21627607823454
2024-11-01,2.991751516439956,2.71209725341419,3.271405779465722
2024-12-01,3.0502450424605625,2.7725730013740506,3.3279170835470744
2025-01-01,3.12961525674693,2.8571040355886677,3.4021264779051927
2025-02-01,3.2461313264605933,2.9873561483161435,3.504906504605043
2025-03-01,3.4356281665523905,3.2160650277573124,3.6551913053474685
2025-05-01,3.632714044081912,3.4464211690727145,3.8190069190911093
