date,imputed_level,lower_95,upper_95
2019-05-15,3.144593280403186,0.8173231181166414,3.793068589424593
2019-05-22,3.0846234542172755,2.1616949494063755,4.899059408875454
2019-05-29,3.0311255144019857,1.3644855716736992,3.261833236916704
2019-06-12,2.952821348214268,1.4709245901541554,4.938324890213224
2019-06-19,2.9185864119555918,1.9131060159210447,4.384737383396407
2019-07-10,2.825719646259197,2.0583431243205004,4.798842051450138
2019-07-17,2.7961652525189766,0.9246961564791885,4.6462940794403496
2019-07-24,2.756253151107722,1.0696545991335185,4.405874276955192
2019-07-31,2.7182813431912445,1.5827275623736514,3.525158426122371
2019-08-14,2.6668163767917292,0.773106327829298,4.619139205633735
2019-08-28,2.6103370744542174,1.225153521447243,3.0418821972520718
2019-09-11,2.553387888923202,0.6802848177084702,4.794529442444726
2019-09-18,2.5201693142969814,0.740357749984083,4.5818240820223455
2019-09-25,2.4902216474643897,1.668018808040488,4.281595232937624
2019-10-09,2.446099710193813,1.7339278194798164,3.6312628372734657
2019-10-16,2.463236511237754,0.17625584310114428,3.5978359312343575
2019-10-23,2.624623765777158,1.2074204923420544,3.932658233766265
2019-11-06,2.8710794741853327,2.2609100567535263,4.138863762573618
2019-11-13,3.0932014624955646,2.341946552125001,4.0528582196155165
2019-11-20,3.3347992486815796,1.3986789352430458,3.882630426348694
2019-11-27,3.922688941329276,3.4072544045678073,5.341179580528955
2019-12-11,4.517276146611485,3.960499980134992,5.715919967438643
2019-12-18,4.515720024476633,3.3345938658075114,6.418236752447857
2019-12-25,4.294015960834435,3.974175921042901,5.788743767593051
2020-01-08,3.9247453663415617,0.9587412971230449,4.922014922237232
2020-01-15,3.8096227748387954,3.4477957131917574,5.3871630540617215
2020-01-22,3.7734796351574635,2.1694239212810986,5.35252148962108
2020-01-29,3.9014156902118446,2.5215589428605236,5.241232255588533
2020-02-12,3.893648692984834,1.1266086023281834,5.506463961990534
2020-02-19,3.9720603187123924,2.3380436037404566,5.667976254303118
2020-03-11,4.309500645114553,4.134788717562391,5.507272637102466
2020-03-18,4.157890613241102,2.4005989527816665,6.228346350592363
2020-03-25,3.945694781818254,2.4208105016810046,5.744442735495729
2020-04-01,3.750900135737849,3.3146362689485436,5.210213216815712
2020-04-08,3.6332697449371905,3.2215584038075025,4.977170095155725
2020-04-22,3.338764494861796,1.3473425860318524,4.170949356553518
2020-04-29,3.2394459736418937,2.2318032567254105,4.166285207206087
2020-05-06,3.1783751443189767,2.478234790481974,4.397035611729251
2020-05-20,3.045643501465885,1.8268331245223854,3.865738002504648
2020-05-27,2.984478058460202,1.5584184749065426,3.3094646476779643
2020-06-10,2.9018884089042225,1.3378798856988503,3.2218514889996843
2020-06-17,2.8756881945769908,1.9365610583943937,4.136941468233092
2020-06-24,2.849950093693582,2.023997916896623,4.606531189579962
2020-07-08,2.8071209598313303,1.873917527409246,3.2463771027318242
2020-07-29,2.7052481092322074,1.4179959357159182,3.9543775501348764
2020-08-05,2.657887581297319,1.7014504938590895,3.6339865815337196
2020-08-12,2.6177989285785883,1.453495626512127,3.373699396372327
2020-08-19,2.5758226780059945,0.0350042808826494,4.008506090354528
2020-08-26,2.5435730189190204,1.2184919948901027,3.942358920564028
2020-09-09,2.4611159768608775,1.0353171682697155,2.837153837699705
2020-09-23,2.3842863946450485,0.8104483732471275,4.198859130559076
2020-09-30,2.3615190693578665,1.1292730777079987,3.8428380446169124
2020-10-14,2.388475977860401,1.642794359496248,3.9367053639090415
2020-10-21,2.596974393843598,2.0645296537367797,3.7883526825692595
2020-10-28,2.8550909856116107,1.0753482196612227,3.430722762196071
