datum,imputerad,lower_95,upper_95
2017-07-01,3.7621787601342804,3.5546978744667626,3.9696596458017983
2017-12-01,4.28559798334286,4.078117098059806,4.493078868625913
2018-04-01,4.080671718047394,3.8731908327651965,4.288152603329591
2019-01-01,3.8460401442859644,3.6385015597539234,4.053578728818006
2019-03-01,3.88205387861439,3.6743987245462986,4.089709032682482
2019-05-01,3.810725750506322,3.5293015399273164,4.092149961085328
2019-06-01,3.812357044332271,3.431429549313801,4.193284539350741
2019-07-01,3.8139883381582202,3.360402932754938,4.267573743561503
2019-08-01,3.8156196319841693,3.3046387351773934,4.326600528790945
2019-09-01,3.8172509258101184,3.2594059409076475,4.375095910712589
2019-10-01,3.818882219636067,3.2222178492962565,4.415546589975877
2019-11-01,3.820513513462016,3.1915830659100224,4.449443961014009
2019-12-01,3.822144807287965,3.166533307803947,4.477756306771983
2020-01-01,3.823776101113914,3.1464082822546193,4.5011439199732095
2020-02-01,3.825407394939863,3.130745117880357,4.5200696719993685
2020-03-01,3.827038688765812,3.1192166845263416,4.534860693005283
2020-04-01,3.828669982591761,3.111595304769118,4.545744660414404
2020-05-01,3.83030127641771,3.107730870964997,4.552871681870423
2020-06-01,3.831932570243659,3.107537870186755,4.556327270300564
2020-07-01,3.8335638640696077,3.1109884939678096,4.556139234171406
2020-08-01,3.8351951578955568,3.118110474711101,4.552279841080013
2020-09-01,3.836826451721506,3.1289892433108877,4.544663660132124
2020-10-01,3.838457745547455,3.1437748123066087,4.5331406787883015
2020-11-01,3.840089039373404,3.16269474117297,4.517483337573838
2020-12-01,3.8417203331993526,3.1860760042331098,4.497364662165595
2021-01-01,3.8433516270253016,3.2143812538362977,4.472322000214306
2021-02-01,3.8449829208512507,3.2482704541084995,4.4416953875940015
2021-03-01,3.8466142146771998,3.288711356685142,4.4045170726692575
2021-04-01,3.8482455085031484,3.3371944119208425,4.359296605085454
2021-05-01,3.8498768023290975,3.3962044083562746,4.303549196301921
2021-06-01,3.8515080961550465,3.470467609906051,4.232548582404042
2021-07-01,3.8531393899809956,3.571549516864981,4.13472926309701
2021-09-01,3.8522244126198473,3.568756488604913,4.135692336634781
2021-10-01,3.84967814143275,3.4633793929404515,4.235976889925048
2021-11-01,3.847131870245653,3.383731792646352,4.310531947844954
2021-12-01,3.8445855990585556,3.318379564845433,4.370791633271678
2022-01-01,3.842039327871458,3.262655000627004,4.4214236551159125
2022-02-01,3.8394930566843612,3.214097296735784,4.464888816632938
2022-03-01,3.836946785497264,3.1712187898731132,4.5026747811214145
2022-04-01,3.834400514310167,3.1330390372922294,4.535761991328105
2022-05-01,3.8318542431230695,3.0988724367849043,4.564836049461235
2022-06-01,3.829307971935972,3.068218630865111,4.590397313006833
2022-07-01,3.8267617007488752,3.0407007034646067,4.612822698033144
2022-08-01,3.824215429561778,3.0160279219236426,4.632402937199913
2022-09-01,3.8216691583746805,2.993972080184787,4.649366236564574
2022-10-01,3.8191228871875835,2.974351847984194,4.663893926390973
2022-11-01,3.816576616000486,2.957022072181186,4.676131159819786
2022-12-01,3.814030344813389,2.941866272740378,4.6861944168864005
2023-01-01,3.811484073626292,2.9287912770540685,4.694176870198515
2023-02-01,3.8089378024391944,2.9177233348069924,4.7001522700713965
2023-03-01,3.8063915312520975,2.9086052921036303,4.704177770400565
2023-04-01,3.803845260065,2.901394549619997,4.706295970510003
2023-05-01,3.8012989888779027,2.896061623292514,4.706536354463291
2023-06-01,3.798752717690806,2.8925891888439415,4.70491624653767
2023-07-01,3.7962064465037084,2.890971535741109,4.701441357266307
2023-08-01,3.7936601753166115,2.891214389684321,4.696105960948902
2023-09-01,3.791113904129514,2.893335090591048,4.68889271766798
2023-10-01,3.7885676329424167,2.897363139146222,4.679772126738611
2023-11-01,3.78602136175532,2.903341152858876,4.668701570651764
2023-12-01,3.7834750905682224,2.911326306080535,4.65562387505591
2024-01-01,3.780928819381125,2.9213923727541227,4.640465266008127
2024-02-01,3.778382548194028,2.933632553480835,4.623132542907221
2024-03-01,3.7758362770069307,2.948163362295662,4.603509191718199
2024-04-01,3.7732900058198338,2.965129994673342,4.5814500169663255
2024-05-01,3.7707437346327364,2.984713834961681,4.556773634303792
2024-06-01,3.768197463445639,3.007143160239603,4.529251766651675
2024-07-01,3.765651192258542,3.032708799316981,4.498593585200103
2024-08-01,3.7631049210714447,3.0617878030682397,4.46442203907465
2024-09-01,3.7605586498843473,3.0948807260137388,4.426236573754956
2024-10-01,3.7580123786972504,3.132673473507442,4.383351283887058
2024-11-01,3.755466107510153,3.1761469864290044,4.3347852285913016
2024-12-01,3.7529198363230556,3.2267898224981235,4.279049850147988
2025-01-01,3.7503735651359587,3.287064609324014,4.213682520947904
2025-02-01,3.7478272939488613,3.3616436131509437,4.134010974746779
2025-03-01,3.7452810227617643,3.461977772189795,4.028584273333734
2025-05-01,3.6989213442056985,3.491322190685157,3.90652049772624
